"ID";"Track";"StartTime";"Length";"PlayRate";"Locked";"Normalized";"StretchMethod";"Looped";"OnRuler";"MediaType";"FileName";"Stream";"StreamStart";"StreamLength";"FadeTimeIn";"FadeTimeOut";"SustainGain";"CurveIn";"GainIn";"CurveOut";"GainOut";"Layer";"Color";"CurveInR";"CurveOutR";"PlayPitch";"LockPitch";"FirstChannel";"Channels"
16; 2; 252802.5500; 32482.4500; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 375892.1834; 1040923.2166; 0.0000; 0.0000; 1.000000; 1; 0.000000; 1; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
17; 2; 285285.0000; 2619.2833; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 412361.9504; 1004453.4496; 0.0000; 0.0000; 1.000000; 1; 0.000000; 4; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
18; 2; 287904.2833; 28528.5000; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 448314.5334; 968500.8666; 0.0000; 0.0000; 1.000000; 1; 0.000000; 4; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
19; 2; 316432.7833; 15665.6500; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 479445.6334; 937369.7666; 0.0000; 0.0000; 1.000000; 1; 0.000000; 1; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
20; 2; 332098.4333; 5588.9166; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 497753.8326; 919061.5674; 0.0000; 0.0000; 1.000000; 1; 0.000000; 4; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
21; 2; 337687.3499; 24808.1167; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 503728.1554; 913087.2446; 0.0000; 0.0000; 1.000000; 1; 0.000000; 4; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
22; 2; 362495.4666; 44661.2833; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 530513.3167; 886302.0833; 0.0000; 0.0000; 1.000000; 1; 0.000000; 1; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
23; 2; 407156.7499; 111744.9667; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 585851.9334; 830963.4666; 0.0000; 0.0000; 1.000000; 1; 0.000000; 4; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
24; 2; 518901.7166; 467.1333; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 697596.9001; 719218.4999; 0.0000; 0.0000; 1.000000; 1; 0.000000; 4; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
25; 2; 519368.8499; 25775.7500; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 726492.4334; 690322.9666; 0.0000; 0.0000; 1.000000; 1; 0.000000; 1; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
26; 2; 545144.5999; 5121.7833; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 757373.2834; 659442.1166; 0.0000; 0.0000; 1.000000; 1; 0.000000; 4; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
27; 2; 550266.3832; 3953.9501; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 762495.0667; 654320.3333; 0.0000; 1001.0001; 1.000000; 1; 0.000000; 4; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
28; 2; 553219.3332; 5338.6666; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 773789.6835; 643025.7165; 1001.0001; 0.0000; 1.000000; 4; 0.000000; 1; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
29; 2; 558557.9999; 38488.4500; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 803686.2168; 613129.1832; 0.0000; 1001.0000; 1.000000; 2; 0.000000; 4; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
30; 2; 596045.4499; 14864.8500; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 854403.5503; 562411.8497; 1001.0000; 0.0000; 1.000000; 4; 0.000000; 1; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
31; 2; 610910.2999; 10694.0167; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 872154.6170; 544660.7830; 0.0000; 0.0000; 1.000000; 1; 0.000000; 1; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
32; 2; 621604.3166; 144978.1667; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 898430.8666; 518384.5334; 0.0000; 0.0000; 1.000000; 2; 0.000000; 1; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
33; 2; 766582.4833; 38705.3333; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 1059558.4999; 357256.9001; 0.0000; 0.0000; 1.000000; 2; 0.000000; 1; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
34; 2; 805287.8166; 20854.1666; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 1112728.2831; 304087.1169; 0.0000; 0.0000; 1.000000; 2; 0.000000; 1; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
35; 2; 826141.9832; 4070.7333; 0.975410; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 1162187.1169; 290346.3512; 0.0000; 0.0000; 1.000000; 2; 0.000000; 1; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
36; 2; 830212.7165; 25642.2832; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 1188787.5999; 228027.8001; 0.0000; 0.0000; 1.000000; 2; 0.000000; 1; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
37; 2; 855854.9999; 160460.2999; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\460.veg"; 0; 1217349.4664; 199465.9336; 0.0000; 0.0000; 1.000000; 2; 0.000000; 1; 0.000000; 0; -1; 1; 4; 0.000000; FALSE; 0; 0
38; 2; 1016315.2998; 1751.7500; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\461.veg"; 0; 273656.7168; 1143392.2498; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
39; 2; 1018067.0498; 27711.0166; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\461.veg"; 0; 285351.7335; 1131697.2331; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
40; 2; 1045778.0664; 5789.1167; 1.000000; FALSE; FALSE; 0; TRUE; FALSE; VIDEO; "D:\Nextcloud\raws\400-499\461.veg"; 0; 315515.2001; 1101533.7665; 0.0000; 0.0000; 1.000000; 4; 0.000000; 4; 0.000000; 0; -1; 4; 4; 0.000000; FALSE; 0; 0
